uid,id,stars,review,type,filename,url
25000,27297,0,"This movie is so bad, you can't help but laugh. The dialogue is horrible, the acting is horrible, the effects are horrible. It is not scary, but it is a helleva good laugh.",Train,./train/unsup/27297_0.txt,http://www.imdb.com/title/tt0093855/usercomments
25001,42807,0,"One is a good first effort by a novice director. Good acting, excellent special effects and cameos by Cleveland news celebrities make this a relatively painless way to spend a couple hours. The weak points were the script and editing which made the story confusing in some parts and overly simplistic in others. Tomeric shows that he has the technical skill to make a reasonable science fiction movie- it will be interesting to see what he can do with a decent script in a more challenging genre like comedy or drama.",Train,./train/unsup/42807_0.txt,http://www.imdb.com/title/tt0227189/usercomments
25002,4422,0,"Maybe I should have seen this when I was a kid. Perhaps viewing it for the first time in the 21st century just doesn't provide the necessary atmosphere to appreciate what this film is about. But for whatever reason, this movie didn't grab my attention at all. It was full of long, and as far as I can tell, pointless shots of people walking, riding bikes, driving cars, or just plain standing around. They were accompanied by spooky noises or music, but they still dragged on for way too long. Maybe that was the late 70's way of building tension, but by the time 20 minutes had gone by, I was so disenfranchised that there was no way I could be apprehensive. And this while watching it in the dead of night alone with the lights off.<br /><br />I love horror movies, and especially hokey ones like Evil Dead. My wife and friends start groaning whenever I go off on some movie that everyone else thinks is stupid. But this one...it just didn't work for me.",Train,./train/unsup/4422_0.txt,http://www.imdb.com/title/tt0079714/usercomments
25003,12374,0,"This film is one of the great ones. Having served on an aircraft carrier for 2.5 years, I'm familiar with aircraft carrier excitement. But the movie was more than just wonderful shots of the U.S. Nimitz. The cast was top drawer, and their acting was as good as it gets. Standing above all the great performances was a Japanese actor portraying a shot-down, highly competent, captured Japanese Zero pilot. While racism understandably raises its ugly head during wartime, with epithets and insults hurled in both directions, in fact this Japanese actor portrayed a Japanese warrior at his finest--someone whom Japanese viewers would be proud of. Played equally well were American military personnel, including some Marines. One of the candid themes of the movie is the tragedy of such fine people going to war against each other, whatever their race.<br /><br />The film is undeniably top drawer, far more mature than than ""Top Gun,"" with even better flying scenes. So I've often wondered why it isn't widely known and not kept in stock in widescreen format. Perhaps the answer is today's wimpy trend towards ""politically correct"" dialog. In one scene, Kirk Douglas refers to the captured Japanese pilot as a ""yellow bastard."" In the video version, this was sanitized. However, sanitized or not, the original racial comment, by itself, may have doomed the film from greater video distribution.<br /><br />I saw the film when it came out in wide-screen format and saw it several times before it left town. Thereafter, the only other versions available in video were ""fit-to-TV-screen"" size. That was tragic! Though still exciting in ""box"" format, the widescreen original was breathtaking. I cannot imagine why producers haven't released this in DVD in original wide-screen format. It makes a huge difference with this film! (Aircraft carriers are huge!)<br /><br />One interesting comment to add about the F-14 flying scenes. I was awed by one particular F-14 maneuver, which I didn't think airplanes were capable of doing. A couple of years later, I talked with a Navy fighter pilot and brought this up. He was very familiar with that scene and personally knew the pilot who flew the F-14 in the movie. He told me that the F-14 almost crashed in that scene, stalling while trying to fly too slow, diving for the ocean to pick up speed, and barely recovering just above the wave tops. This near-accident was caught on film and added immensely to the exhibition of flying skill. An exception had been granted to the Navy's policy of not allowing ""dissimilar aircraft"" to fly together in movie scenes. The result of that granted exception was almost the loss of an F-14.<br /><br />This is an incredibly good drama. I found that the various twists and turns, and particularly the call-it-off ending, all contributed to the drama and moral dilemmas. This is a fine, great movie. Like others who commented here, it seems tragic that this film is not available in widescreen DVD format. Everyone I've shown it to loves it, male and female. Feminism and romance are included, along with a collie dog for the kids.",Train,./train/unsup/12374_0.txt,http://www.imdb.com/title/tt0080736/usercomments
25004,12131,0,"When I first saw My Dinner with Andre, I didn't like it. It was the opposite of what I thought a movie should be. It seemed to be all talk and little action or movement (the formula for pure cinema is just the opposite). However, something about it stuck with me, and I was lucky enough to catch it again. The second viewing of this film really paid off. I had my bearings and could follow the conversation as it flowed back and forth from the transcendental and almost mystical explorations of Andre to the simple, practical, everyday appreciations of Wally. It suddenly occurred to me that what was happening was much more than just an unusual dinner conversation--it was a back and forth between the two great viewpoints of life. There is something wonderfully exciting and courageous about Andre's search for the truth and reality of things as he travels to mountains and deserts to find it. But there is equally something as exciting and brilliant in Wally's ability to see the miracle of a quiet evening at home (even reading the autobiography of Charlton Heston) or doing his errands and crossing them off the list. Both men are wonderful, and one realizes that this is not just a lot of talk and no action; as with many great artworks, everything is going on just under the surface--all the action is in the realm of ideas, not in physical motion. At the end, like Wally, we come away from the dinner with Andre quite changed for the better. Somehow the world is a little more beautiful, a little more alive, and we are a little more able to see its beauty and appreciate the miracle of it all.",Train,./train/unsup/12131_0.txt,http://www.imdb.com/title/tt0082783/usercomments
25005,32663,0,"We recently screened this film for our English class and I found it to be one of the worst films I have ever seen. There are WAY to many closeups of this actress, the plot was very weak, the props were poorly manufactured, and the sound was unbearable.<br /><br />DO NOT WATCH THIS FILM.<br /><br />The film shouldn't have been released to the United States and should have just stayed in Bollywood land where it belongs. This film is neither shocking nor riveting. I can't believe how many people liked this film. A group of normal college kids from Chicago all unanimously agreed that this film was complete trash.",Train,./train/unsup/32663_0.txt,http://www.imdb.com/title/tt0228560/usercomments
25006,30166,0,"Don't let this pass you by. Evocative, funny, poignant, and tragic by turns, it leaves you with a warm feeling and a sense of puzzlement: if they can make things as good as this, how come we have to put up with so much dross? Great ensemble playing, great music, stand-out miniature performances from Christine Lahti, Mercedes Ruehl, Rosie Perez, and Gregory Hines, but the icing on the cake is a chilling song from Taryl Hicks in ""Sax Cantor Riff"". The musical close under the credits was also a knock-out.<br /><br />Quote of the movie: ""Only in New York...""",Train,./train/unsup/30166_0.txt,http://www.imdb.com/title/tt0120240/usercomments
25007,47314,0,"Naturally, I would hate this movie, because Eddward Furlong is in it. Sadly, that isn't the only reason this sucks. The acting is crap, the plot is forgettable and horror is cheesy. The fact that there is too much violence and not enough atmosphere ruins this movie (the first one sucked too). <br /><br />I obviously wouldn't recommend this movie to any one with a sense of taste for movies. The actors are awful! (especially Edward Furlong) This movie really just seems like an excuse to desensitize people to violence.<br /><br />In closing, this movie is pretty lowsy and deserves to be on the bottom 100. If you like movies with strong plots and powerful acting, don't waste your time with this.",Train,./train/unsup/47314_0.txt,http://www.imdb.com/title/tt0105128/usercomments
25008,48524,0,"Despite its comic intentions, Smiley Face turned out to be one of the least funny titles in a genre that has produced several winners. Anna Faris in the lead role is nearly comatose, self-destructive to the point where it's hard to laugh casually at her situation. She functions as a lost child throughout the entire film, barely speaking in complete sentences as her world collapses around her.<br /><br />The movie strives for zany unpredictability by featuring one mishap after another; unfortunately, the consistently bad outcomes make the plot anything but surprising. The supporting cast is frequently as dull as the main character is demented, and the majority of the jokes fall flat. Those that don't are often written out on the screen, repeated several times, or uttered slowly in case the viewer might be high as well.<br /><br />Smiley Face takes Hollywood's chic stoner anti-hero to a new low, moving at the pace of a tricycle and leaving plot holes that range from intentional to confusing to downright bizarre. Where Cheech Marin, Dave Chappelle, and John Cho had intelligent witticisms to contribute, Anna Faris displays an eternally glazed look on her face that the viewer will most likely share.",Train,./train/unsup/48524_0.txt,http://www.imdb.com/title/tt0780608/usercomments
25009,40032,0,"what a waste movie, where is the acting??? where are the scenes???<br /><br />i don't blame Indian audiences, they have lost the taste long time ago. how can this silly movie be a big blockbuster.<br /><br />other than Lata mangeshkar's voice nothing is good in it. a boring story line that only starts from the second hour.<br /><br />how can this movie be hit??? and a great classic like Lamhe flop ?? plus Madhuri Dixit didn't deserve that years award. I think Sridevi deserved the award for her powerful performance in Laadla. really there is no match.<br /><br />i really advice u to avoid this movie. One star only goes for Lata's voice nothing else",Train,./train/unsup/40032_0.txt,http://www.imdb.com/title/tt0110076/usercomments
